"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Pdgfa",2.87917542064162e-06,-0.589346938377878,0.025,0.289,0.0894070343371842
"Txnl4a",3.14207823118475e-06,-0.469239526070782,0.148,0.487,0.09757095531298
"Park7",3.21669821239196e-06,-0.582397960499371,0.432,0.737,0.0998881295894074
"Cbx3",3.22349635223237e-06,-0.664068029312881,0.272,0.625,0.100099232225872
"Mrps21",3.37375836489994e-06,-0.600443812963501,0.173,0.493,0.104765318505238
"Slirp",3.49576367635875e-06,-0.623315720666982,0.198,0.513,0.108553949441968
"Siva1",3.54147972470858e-06,-0.45562908396548,0.296,0.638,0.109973569891376
"Cox6b2",3.64520692065278e-06,-0.579102202209014,0.086,0.388,0.113194610507031
"Anp32e",3.70123707252893e-06,-0.699067591238046,0.074,0.362,0.114934514813241
"G3bp1",3.90315727633359e-06,-0.463748994384183,0.074,0.375,0.121204742901987
"Mrpl34",3.93070048730253e-06,-0.500645037147678,0.025,0.283,0.122060042232206
"Rpl18",3.94130630408754e-06,-0.348432345031929,0.963,0.993,0.12238938466083
"Lamtor1",4.00063784763259e-06,-0.467074123547796,0.086,0.382,0.124231807082535
"Smc2",4.04251898463262e-06,-0.453229651235124,0.136,0.461,0.125532342029797
"Sf3b1",4.15043631609682e-06,-0.585930200676985,0.21,0.559,0.128883498923755
"Myo9a",4.34628360296488e-06,1.14715716694757,0.346,0.118,0.134965144722868
"Arpc1b",4.44771406676158e-06,-0.588887912463831,0.025,0.276,0.138114864915147
"Cdkn1c",4.47181617423254e-06,-0.474853404675978,0.123,0.454,0.138863307658443
"Rps11",4.49771677267663e-06,-0.305707893817924,0.926,0.993,0.139667598941927
"Atp5c1",4.64365054389413e-06,-0.631965687758338,0.321,0.664,0.144199280339544
"Srsf3",4.68083578686322e-06,-0.446519835306959,0.333,0.717,0.145353993689463
"Prdx1",4.83622194416492e-06,-0.468342506053086,0.593,0.888,0.150179200032153
"Pcbp1",4.97421624079728e-06,-0.498408324984292,0.086,0.395,0.154464336925478
"Rps27rt",5.1756519925278e-06,-0.55891604188291,0.173,0.474,0.160719521323966
